REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CIBACKSTOP,2021,1.0
REGION1,CINGCCPH1,2021,1.0
REGION1,CINGGCPH1,2021,1.0
REGION1,CISOU1PH1,2021,0.0
REGION1,CILFRCPH1,2021,1.0
REGION1,CIHFGCPH1,2021,1.0
REGION1,CIHYDMSH1,2021,1.0
REGION1,CINGCCPN1,2021,1.0
REGION1,CINGGCPN1,2021,1.0
REGION1,CISOU1PN1,2021,0.0
REGION1,CILFRCPN1,2021,1.0
REGION1,CIHFGCPN1,2021,1.0
REGION1,CIHYDMSN1,2021,1.0
REGION1,CIWINDPN1,2021,0.05
REGION1,CINGCCSPN1,2021,1.0
REGION1,CIBATTN1,2021,1.0
REGION1,CICOSCPN1,2021,1.0
REGION1,CIELBFPH1,2021,1.0
REGION1,GHELCIPH1,2021,1.0
REGION1,CIBACKSTOP,2022,1.0
REGION1,CINGCCPH1,2022,1.0
REGION1,CINGGCPH1,2022,1.0
REGION1,CISOU1PH1,2022,0.0
REGION1,CILFRCPH1,2022,1.0
REGION1,CIHFGCPH1,2022,1.0
REGION1,CIHYDMSH1,2022,1.0
REGION1,CINGCCPN1,2022,1.0
REGION1,CINGGCPN1,2022,1.0
REGION1,CISOU1PN1,2022,0.0
REGION1,CILFRCPN1,2022,1.0
REGION1,CIHFGCPN1,2022,1.0
REGION1,CIHYDMSN1,2022,1.0
REGION1,CIWINDPN1,2022,0.05
REGION1,CINGCCSPN1,2022,1.0
REGION1,CIBATTN1,2022,1.0
REGION1,CICOSCPN1,2022,1.0
REGION1,CIELBFPH1,2022,1.0
REGION1,GHELCIPH1,2022,1.0
REGION1,CIBACKSTOP,2023,1.0
REGION1,CINGCCPH1,2023,1.0
REGION1,CINGGCPH1,2023,1.0
REGION1,CISOU1PH1,2023,0.0
REGION1,CILFRCPH1,2023,1.0
REGION1,CIHFGCPH1,2023,1.0
REGION1,CIHYDMSH1,2023,1.0
REGION1,CINGCCPN1,2023,1.0
REGION1,CINGGCPN1,2023,1.0
REGION1,CISOU1PN1,2023,0.0
REGION1,CILFRCPN1,2023,1.0
REGION1,CIHFGCPN1,2023,1.0
REGION1,CIHYDMSN1,2023,1.0
REGION1,CIWINDPN1,2023,0.05
REGION1,CINGCCSPN1,2023,1.0
REGION1,CIBATTN1,2023,1.0
REGION1,CICOSCPN1,2023,1.0
REGION1,CIELBFPH1,2023,1.0
REGION1,GHELCIPH1,2023,1.0
REGION1,CIBACKSTOP,2024,1.0
REGION1,CINGCCPH1,2024,1.0
REGION1,CINGGCPH1,2024,1.0
REGION1,CISOU1PH1,2024,0.0
REGION1,CILFRCPH1,2024,1.0
REGION1,CIHFGCPH1,2024,1.0
REGION1,CIHYDMSH1,2024,1.0
REGION1,CINGCCPN1,2024,1.0
REGION1,CINGGCPN1,2024,1.0
REGION1,CISOU1PN1,2024,0.0
REGION1,CILFRCPN1,2024,1.0
REGION1,CIHFGCPN1,2024,1.0
REGION1,CIHYDMSN1,2024,1.0
REGION1,CIWINDPN1,2024,0.05
REGION1,CINGCCSPN1,2024,1.0
REGION1,CIBATTN1,2024,1.0
REGION1,CICOSCPN1,2024,1.0
REGION1,CIELBFPH1,2024,1.0
REGION1,GHELCIPH1,2024,1.0
REGION1,CIBACKSTOP,2025,1.0
REGION1,CINGCCPH1,2025,1.0
REGION1,CINGGCPH1,2025,1.0
REGION1,CISOU1PH1,2025,0.0
REGION1,CILFRCPH1,2025,1.0
REGION1,CIHFGCPH1,2025,1.0
REGION1,CIHYDMSH1,2025,1.0
REGION1,CINGCCPN1,2025,1.0
REGION1,CINGGCPN1,2025,1.0
REGION1,CISOU1PN1,2025,0.0
REGION1,CILFRCPN1,2025,1.0
REGION1,CIHFGCPN1,2025,1.0
REGION1,CIHYDMSN1,2025,1.0
REGION1,CIWINDPN1,2025,0.05
REGION1,CINGCCSPN1,2025,1.0
REGION1,CIBATTN1,2025,1.0
REGION1,CICOSCPN1,2025,1.0
REGION1,CIELBFPH1,2025,1.0
REGION1,GHELCIPH1,2025,1.0
REGION1,CIBACKSTOP,2026,1.0
REGION1,CINGCCPH1,2026,1.0
REGION1,CINGGCPH1,2026,1.0
REGION1,CISOU1PH1,2026,0.0
REGION1,CILFRCPH1,2026,1.0
REGION1,CIHFGCPH1,2026,1.0
REGION1,CIHYDMSH1,2026,1.0
REGION1,CINGCCPN1,2026,1.0
REGION1,CINGGCPN1,2026,1.0
REGION1,CISOU1PN1,2026,0.0
REGION1,CILFRCPN1,2026,1.0
REGION1,CIHFGCPN1,2026,1.0
REGION1,CIHYDMSN1,2026,1.0
REGION1,CIWINDPN1,2026,0.05
REGION1,CINGCCSPN1,2026,1.0
REGION1,CIBATTN1,2026,1.0
REGION1,CICOSCPN1,2026,1.0
REGION1,CIELBFPH1,2026,1.0
REGION1,GHELCIPH1,2026,1.0
REGION1,CIBACKSTOP,2027,1.0
REGION1,CINGCCPH1,2027,1.0
REGION1,CINGGCPH1,2027,1.0
REGION1,CISOU1PH1,2027,0.0
REGION1,CILFRCPH1,2027,1.0
REGION1,CIHFGCPH1,2027,1.0
REGION1,CIHYDMSH1,2027,1.0
REGION1,CINGCCPN1,2027,1.0
REGION1,CINGGCPN1,2027,1.0
REGION1,CISOU1PN1,2027,0.0
