REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DZBACKSTOP,2021,1.0
REGION1,DZNGCCPH1,2021,1.0
REGION1,DZNGGCPH1,2021,1.0
REGION1,DZSOU1PH1,2021,0.0
REGION1,DZLFRCPH1,2021,1.0
REGION1,DZHFGCPH1,2021,1.0
REGION1,DZHYDMSH1,2021,1.0
REGION1,DZSOC1PH1,2021,0.0
REGION1,DZNGCCPN1,2021,1.0
REGION1,DZNGGCPN1,2021,1.0
REGION1,DZSOU1PN1,2021,0.0
REGION1,DZLFRCPN1,2021,1.0
REGION1,DZHFGCPN1,2021,1.0
REGION1,DZHYDMSN1,2021,1.0
REGION1,DZSOC1PN1,2021,0.0
REGION1,DZWINDPN1,2021,0.05
REGION1,DZNGCCSPN1,2021,1.0
REGION1,DZBATTN1,2021,1.0
REGION1,MAELDZPH1,2021,1.0
REGION1,TNELDZPH1,2021,1.0
REGION1,DZNGESPI0,2021,1.0
REGION1,DZNGITPI0,2021,1.0
REGION1,DZNGMAPI0,2021,1.0
REGION1,DZBACKSTOP,2022,1.0
REGION1,DZNGCCPH1,2022,1.0
REGION1,DZNGGCPH1,2022,1.0
REGION1,DZSOU1PH1,2022,0.0
REGION1,DZLFRCPH1,2022,1.0
REGION1,DZHFGCPH1,2022,1.0
REGION1,DZHYDMSH1,2022,1.0
REGION1,DZSOC1PH1,2022,0.0
REGION1,DZNGCCPN1,2022,1.0
REGION1,DZNGGCPN1,2022,1.0
REGION1,DZSOU1PN1,2022,0.0
REGION1,DZLFRCPN1,2022,1.0
REGION1,DZHFGCPN1,2022,1.0
REGION1,DZHYDMSN1,2022,1.0
REGION1,DZSOC1PN1,2022,0.0
REGION1,DZWINDPN1,2022,0.05
REGION1,DZNGCCSPN1,2022,1.0
REGION1,DZBATTN1,2022,1.0
REGION1,MAELDZPH1,2022,1.0
REGION1,TNELDZPH1,2022,1.0
REGION1,DZNGESPI0,2022,1.0
REGION1,DZNGITPI0,2022,1.0
REGION1,DZNGMAPI0,2022,1.0
REGION1,DZBACKSTOP,2023,1.0
REGION1,DZNGCCPH1,2023,1.0
REGION1,DZNGGCPH1,2023,1.0
REGION1,DZSOU1PH1,2023,0.0
REGION1,DZLFRCPH1,2023,1.0
REGION1,DZHFGCPH1,2023,1.0
REGION1,DZHYDMSH1,2023,1.0
REGION1,DZSOC1PH1,2023,0.0
